上课班级,选课人数,开课编号,开课课程,授课教师,教师所在院系,开课时间,上课地点,上课周次,单双周,分组名,备注
中文2501-03,85,202620271002267,创新创业专创融合课,姜瑀,人文学院,10102,A座104,12,全周,,调课
电科2504-06,77,202620271000855,数字电子技术A,陈丽萍,自动化学院,10102,A座104,3-16,全周,,调课
冶金材料类2607-08,0,202620271019194,工程制图基础A,杨放琼,机电工程学院,10102,A座113,"2-4,8-20",全周,,调课
遥感2402,22,202620271009127,地理信息系统原理与应用,冯徽徽,地球科学与信息物理学院,10102,A座115,11-18,全周,,调课
精神医学[2601-02]班卓越医生班（福庆班）2601,0,202620271017103,大学生心理健康教育（一）,郭鹏飞,马克思主义学院,10102,A座119,10-17,单周,,调课
矿物2501-02,53,202620271004143,工科大学化学—物理化学A(一),刘洋,化学化工学院,10102,A座122,1-14,全周,,调课
地勘T2401,13,202620271009072,地球化学,张德贤,地球科学与信息物理学院,10102,A座222,1-8,全周,,调课
计算机D2501-02,62,202620271000190,多范式编程与数据结构,余腊生,计算机学院,10102,A座310,1-16,全周,,调课
出版T2501班出版2503,52,202620271002223,马克思主义基本原理,黄斌,马克思主义学院,10102,A座313,3-18,全周,,调课
经济管理类2606,0,202620271017822,微观经济学,李康祥,商学院,10102,A座313,"2-4,8-16",全周,,调课
会计2501-03,64,202620271002461,税法与税务会计,刘爱明,商学院,10102,A座314,1-16,全周,,调课
经济管理类2606,0,202620271017822,微观经济学,李康祥,商学院,10102,A座314,"2-4,8-16",全周,,调课
社会2601-02,0,202620271016763,社会学概论,米莉,公共管理学院,10102,A座414,"2-4,8-16",全周,,调课
社会2601-02,0,202620271016763,社会学概论,米莉,公共管理学院,10102,A座414,"2-4,8-16",全周,,调课
工商2402,22,202620271007191,ERP与企业数字化运营,许民利,商学院,10102,B座103,1-12,全周,,调课
电气2405-07,86,202620271004659,电气工程基础,陈有根,自动化学院,10102,B座207,9-16,全周,,调课
电气2405-07,86,202620271004659,电气工程基础,陈有根,自动化学院,10102,B座207,1-8,全周,,调课
信管2401-02,43,202620271007134,大数据分析,郑博雯,商学院,10102,B座307,1-8,全周,,调课
电信2501-05,113,202620271000897,模拟电子技术B,姜霞,自动化学院,10102,B座313,3-18,单周,,调课
