上课班级,选课人数,开课编号,开课课程,授课教师,教师所在院系,开课时间,上课地点,上课周次,单双周,分组名,备注
化工2303,25,202520261006599,化工原理A(二),刘辉,化学化工学院,10102,A座103,3-14,全周,,调课
地质2301-02,46,202520261008281,钢筋混凝土结构,彭文祥,地球科学与信息物理学院,10102,A座103,9-16,全周,,调课
微电子2401-02,58,202520261003227,量子力学,牛冬梅,物理学院,10102,A座110,2-11,全周,,调课
交控2401-02,66,202520261003106,电路,毛先柏,自动化学院,10102,A座122,3-18,全周,,调课
地勘2501-03,86,202520261015640,军事理论,郭鹏飞,马克思主义学院,10102,A座122,"2-4,8-20",全周,,调课
计算机T2501班外国语言文学类2507-08,68,202520261017160,形势与政策,韩胜杰,人文学院,10102,A座204,"9,13",全周,,调课
电子信息类2507-08,70,202520261017624,军事理论,龙运杰,马克思主义学院,10102,A座204,"2-4,8-20",全周,,调课
冶金材料类2507-08,56,202520261018867,工程制图基础A,袁望姣,机电工程学院,10102,A座211,"2-4,8-20",全周,,调课
机械类2515-16,56,202520261018581,工程制图与数字化表达（一）,吴波,机电工程学院,10102,A座211,"2-4,9-19",全周,,调课
冶金材料类2507-08,56,202520261018867,工程制图基础A,袁望姣,机电工程学院,10102,A座212,"2-4,8-20",全周,,调课
化工2303,25,202520261006599,化工原理A(二),刘辉,化学化工学院,10102,A座223,3-14,全周,,调课
出版2301-03,95,202520261006303,创新创业导论,陈媛,人文学院,10102,A座308,3-18,全周,,调课
交控2401-02,66,202520261003106,电路,毛先柏,自动化学院,10102,A座311,3-18,全周,,调课
交运2403-04,54,202520261002996,铁路运输设备,叶峻青,交通运输工程学院,10102,A座319,1-8,全周,,调课
应化2401-03,85,202520261002467,大学物理C（二）,周良玉,物理学院,10102,A座420,3-14,全周,,调课
信科2401-02,75,202520261002639,实变函数,杨蕊,数学与统计学院,10102,B座105,3-18,全周,,调课
电信2301-04,27,202520261004532,Python程序设计,李仪,自动化学院,10102,B座107,11-18,全周,,调课
化学生物环境类2507-08,55,202520261019803,无机化学A,刘又年,化学化工学院,10102,B座108,"2-4,9-19",全周,,调课
机械2402班机械2407,59,202520261003329,机械原理与设计（一）,周英,机电工程学院,10102,B座118,3-14,全周,,调课
中文2304-05,35,202520261006249,古典文献学,李明,人文学院,10102,B座202,3-10,全周,,调课
机械2404-05,61,202520261003332,机械原理与设计（一）,郑志莲,机电工程学院,10102,B座207,3-14,全周,,调课
中文2201-05,20,202520261010260,秘书学,邓梦燕,人文学院,10102,B座210,1-8,全周,,调课
自动化与电气类2516-18,93,202520261015904,思想道德与法治,刘建亚,马克思主义学院,10102,B座212,"2-4,8-20",全周,,调课
中文2201-05,20,202520261010260,秘书学,邓梦燕,人文学院,10102,B座217,1-8,全周,,调课
工商2301,32,202520261006499,人力资源管理,陈明淑,商学院,10102,B座301,1-8,全周,,调课
机械2301-02,62,202520261007566,嵌入式系统原理与应用（一）,张友旺,机电工程学院,10102,B座307,1-10,全周,,调课
自动化T2401,23,202520261015128,自动化专业导论,凌玉华,自动化学院,10102,B座405,2-5,全周,,调课
计算机类2512-13,67,202520261016153,离散数学,匡湖林,计算机学院,10102,B座506,"2-4,9-17",全周,,调课
信管2301-02,52,202520261006367,习近平新时代中国特色社会主义思想概论,秘金雷,马克思主义学院,10102,C座108,3-18,全周,,调课
城地2401-03班无机2401-02,122,202520261003996,电工学A,陈丽萍,自动化学院,10102,C座112,3-18,全周,,调课
测控2401班自动化2407-08,69,202520261000482,模拟电子技术,刘献如,自动化学院,10102,C座203,3-16,全周,,调课
预防2501-02,58,202520261016524,思想道德与法治,李婷,马克思主义学院,10102,C座203,"2-4,8-20",全周,,调课
机械2305-06,66,202520261007479,创新创业导论,何玉辉,机电工程学院,10102,C座205,3-18,全周,,调课
文史预科2501班理工预科2503-04,84,202520261016883,中华民族共同体概论,王昕伟,"党委学生工作部（学生工作处）、武装部,马克思主义学院",10102,C座205,"9,11",全周,,调课
预防2501-02,58,202520261016524,思想道德与法治,李婷,马克思主义学院,10102,C座205,"2-4,8-20",全周,,调课
光电2401-02,51,202520261002575,物理光学,陈羽,物理学院,10102,C座307,1-12,全周,,调课
计算机T2501班外国语言文学类2507-08,68,202520261017160,形势与政策,韩胜杰,人文学院,10102,C座308,"9,13",全周,,调课
冶金2404-06,87,202520261003682,中国近现代史纲要,黄令坦,马克思主义学院,10102,C座311,3-18,全周,,调课
机械2402班机械2407,59,202520261003329,机械原理与设计（一）,周英,机电工程学院,10102,C座407,3-14,全周,,调课
产设2305-06,38,202520261005944,习近平新时代中国特色社会主义思想概论,李勇图,马克思主义学院,10102,C座411,3-18,全周,,调课
机械D2501-02,60,202520261015714,思想道德与法治,刘勇为,马克思主义学院,10102,C座501,"2-4,8-20",全周,,调课
电气2303-04,60,202520261004386,电力电子技术,黎燕,自动化学院,10102,C座502,1-14,全周,,调课
计算机类2501-03,101,202520261016099,形势与政策,姜芳蕊,马克思主义学院,10102,C座504,"9,13",全周,,调课
机械2402班机械2407,59,202520261003329,机械原理与设计（一）,周英,机电工程学院,10102,D座128,3-14,全周,,调课
电子信息类2511,34,202520261016251,大学英语（一）,石海英,外国语学院,10102,外语网络楼101,"2-4,8-20",全周,,调课
电子信息类2510,34,202520261016255,大学英语（一）,唐媛,外国语学院,10102,外语网络楼105,"2-4,8-20",全周,,调课
社会2502,27,202520261016340,大学英语（一）,顾兰,外国语学院,10102,外语网络楼108,"2-4,8-20",全周,,调课
英语2401,22,202520261002017,英语说明文写作,阎勇,外国语学院,10102,外语网络楼206,1-16,全周,,调课
英语2403,24,202520261002046,英语小说,张晓舸,外国语学院,10102,外语网络楼208,1-16,全周,,调课
英语2303-05,20,202520261006083,二外(日语)(二),肖志,外国语学院,10102,外语网络楼216,1-16,全周,,调课
英语2402,27,202520261002024,普通语言学,陈洁,外国语学院,10102,外语网络楼219,1-16,全周,,调课
轨道交通安全类2508,27,202520261017975,大学英语（一）,熊卉,外国语学院,10102,外语网络楼232,"2-4,8-20",全周,,调课
轨道交通安全类2508,27,202520261017975,大学英语（一）,熊卉,外国语学院,10102,外语网络楼347,"2-4,8-20",全周,,调课
自动化与电气类2506,32,202520261015857,大学英语（一）,傅晓燕,外国语学院,10102,外语网络楼349,"2-4,8-20",全周,,调课
遥感测绘地信类2504,28,202520261019141,大学英语（一）,向艳,外国语学院,10102,外语网络楼449,"2-4,8-20",全周,,调课
临班,32,202520261015258,高级英语（一）,唐陆军,外国语学院,10102,外语网络楼451,3-18,全周,英汉笔译,调课
临班,32,202520261015258,高级英语（一）,唐陆军,外国语学院,10102,外语网络楼451,3-18,全周,英汉笔译,调课
艺科2501,20,202520261017043,大学基础英语（一）,何佳,外国语学院,10102,外语网络楼453,"2-4,8-20",全周,,调课
会计2302,32,202520261006472,高级财务会计,周志方,商学院,10304,A座103,1-8,全周,,调课
地勘2501,29,202520261019078,地球科学概论,杨牧,地球科学与信息物理学院,10304,A座103,9-18,全周,,调课
运训2501-03,0,202520261016309,形势与政策,欧阳旖旎,电子信息学院,10304,A座110,"9,13",全周,,调课
出版2301-03,95,202520261006306,形势与政策,易孝慈,人文学院,10304,A座110,"8,12",全周,,调课
冶金材料类2515-16,56,202520261018871,工程制图基础A,刘景琳,机电工程学院,10304,A座114,"2-4,8-20",全周,,调课
能器2302,27,202520261007915,材料科学基础,刘丝靓,冶金与环境学院,10304,A座123,9-12,全周,,调课
冶金材料类2519-20,54,202520261018874,工程制图基础A,吴波,机电工程学院,10304,A座211,"2-4,8-20",全周,,调课
冶金材料类2519-20,54,202520261018874,工程制图基础A,吴波,机电工程学院,10304,A座214,"2-4,8-20",全周,,调课
地勘2301,14,202520261008376,地球化学,刘磊,地球科学与信息物理学院,10304,A座223,2-8,全周,,调课
测控2401班电科2401-02,64,202520261000293,大学物理B（二）,彭勇宜,物理学院,10304,A座301,3-16,全周,,调课
电科2403-04,51,202520261000742,工程制图基础B,钟国梁,机电工程学院,10304,A座312,"2-4,9-17",全周,,调课
能动2401-03,78,202520261003183,大学物理B（二）,吴迪,物理学院,10304,A座404,3-16,全周,,调课
应化2405-06,56,202520261002493,有机化学A（一）,喻桂朋,化学化工学院,10304,A座413,1-14,全周,,调课
智能2301-03,45,202520261004617,语音信号处理,余伶俐,自动化学院,10304,B座108,11-18,全周,,调课
行政2503,26,202520261016373,政治学原理,李晓飞,公共管理学院,10304,B座117,"2-4,8-16",全周,,调课
地勘2501,29,202520261019078,地球科学概论,杨牧,地球科学与信息物理学院,10304,B座212,9-18,全周,,调课
法学2501-03,92,202520261019707,形势与政策,易孝慈,人文学院,10304,B座212,"9,13",全周,,调课
轨道交通安全类2525-27,80,202520261017906,形势与政策,谢琰,马克思主义学院,10304,B座212,"9,13",全周,,调课
自动化2301-02,64,202520261004426,人工智能导论,陈白帆,自动化学院,10304,B座212,1-8,全周,,调课
中文2301-03,55,202520261006246,古典文献学,李明,人文学院,10304,B座217,3-10,全周,,调课
艺科2401-03,59,202520261001858,形势与政策,李江浩,马克思主义学院,10304,B座219,"9,13",全周,,调课
信管2301-02,52,202520261006347,大数据分析,郑博雯,商学院,10304,B座302,9-16,全周,,调课
中文2301-05,72,202520261006216,中国思想史专题,余慕怡,人文学院,10304,B座315,11-12,全周,,调课
机械2411-12,51,202520261003339,机械原理与设计（一）,郑志莲,"机电工程学院,轻合金研究院",10304,B座319,3-14,全周,,调课
机械2306-07,51,202520261015241,智能制造装备与系统（一）,刘德福,机电工程学院,10304,B座407,9-16,全周,,调课
法学2401-02,56,202520261001795,国际公法,范晓宇,法学院,10304,B座408,1-12,全周,,调课
电信2301-04,118,202520261004544,数据结构与算法,陈科文,自动化学院,10304,B座409,3-10,全周,,调课
计算机2407-09,17,202520261014824,面向对象编程（C++）,段俊文,计算机学院,10304,B座412,1-16,全周,,调课
机械2411-12,51,202520261003339,机械原理与设计（一）,郑志莲,"机电工程学院,轻合金研究院",10304,B座412,3-14,全周,,调课
自动化与电气类2503-04,65,202520261015908,高级程序设计,雷琪,自动化学院,10304,B座419,"2-4,9-17",全周,,调课
社会2501-02,55,202520261016345,社会学概论,米莉,公共管理学院,10304,B座501,"2-4,8-16",全周,,调课
计算机2301-04,119,202520261004845,软件工程,杨柳,计算机学院,10304,B座507,1-16,单周,,调课
数学类2507-08,0,202520261019801,高等代数（一）,董国志,数学与统计学院,10304,C座109,"2-4,8-20",全周,,调课
计算机2307-09,89,202520261004838,形势与政策,彭芬,马克思主义学院,10304,C座204,"8,12",全周,,调课
机械2313,27,202520261007522,机械制造工程（一）,周明勇,机电工程学院,10304,C座207,1-16,全周,,调课
信科T2501班应数T2501,45,202520261017714,高等代数（一）,苗存强,数学与统计学院,10304,C座304,"2-4,8-20",全周,,调课
智能2301-03,80,202520261004613,智能控制技术,肖晓明,自动化学院,10304,C座310,3-10,全周,,调课
文史预科2501,20,202520261016884,应用写作（一）,邓梦燕,人文学院,10304,C座410,"2-9,11-18",全周,,调课
文史预科2501,20,202520261016884,应用写作（一）,邓梦燕,人文学院,10304,C座410,"2-9,11-18",全周,,调课
思政2301,30,202520261005845,习近平新时代中国特色社会主义思想概论,秘金雷,马克思主义学院,10304,C座411,3-18,单周,,调课
音乐表演2301-02班舞蹈表演2301,60,202520261006002,习近平新时代中国特色社会主义思想概论,屈志强,马克思主义学院,10304,C座502,3-18,全周,,调课
化工2301-02,49,202520261006622,物理化学B(二),邱晓清,化学化工学院,10304,D座101,3-12,全周,,调课
无机2401-02,40,202520261003886,工科大学化学—物理化学B(一),彭志光,化学化工学院,10304,D座103,3-14,全周,,调课
粉体2407-09,20,202520261003424,科学素养与科研方法,谭彦妮,粉末冶金研究院,10304,D座117,1-8,全周,,调课
自动化2501（西伯利亚留学生班）,25,202520261015949,数字电子技术,刘晨亮,自动化学院,10304,D座122,3-10,全周,,调课
艺科2504-06,57,202520261017050,形势与政策,李婷,马克思主义学院,10304,D座123,"9,13",全周,,调课
