上课班级,选课人数,开课编号,开课课程,授课教师,教师所在院系,开课时间,上课地点,上课周次,单双周,分组名,备注
临床（五年）附三[22035-36]班组临床（五年）附三[22047-48]班组,68,202520261009489,形势与政策,任安霁,保卫处,10910,T110,"7,11",全周,,调课
临五2409-10,64,202520261001642,马克思主义基本原理,王浩斌,马克思主义学院,20304,T205,1-16,全周,,调课
生科2301班生科T2301,62,202520261005085,创新创业导论,左绿水,公共管理学院,30304,T206,3-18,全周,,调课
生医2401班生医2401（科创班）,60,202520261000972,中国近现代史纲要,吴冠中,马克思主义学院,30910,T112,3-18,全周,,调课
临床（五年）附三[22035-36]班组临床（五年）附三[22047-48]班组,68,202520261009489,形势与政策,任安霁,保卫处,40102,T110,"7,11",全周,,调课
临床医学（八年制）2203,25,202520261009771,人体寄生虫学[讲课学时],黄静,湘雅基础医学院,40708,S316,6,全周,,调课
临五2313-14,64,202520261005755,习近平新时代中国特色社会主义思想概论,刘君之,马克思主义学院,50506,T108,1-18,单周,,调课
"法医2201,法医2301,基础医学拔尖2201班,临床（五年）附二2203班6组,临床（五年）附三2201班1组,临床（五年）附三2203班5组,临床（五年）附三2204班7组,临床（五年）附一2203班5组,临床（五年）附一2205班9组,临五2301,临五2302,临五2303,临五2304,临五2305,临五2306,临五2307,临五2308,临五2309,临五2310,临五2311,临五2312,临五2313",55,,,,,10910,T105,2,,,考试安排
基础医学22级1组,1,,,,,10910,T105,2,,,考试安排
"护理2203,药学2202,药学2203",4,,,,,10910,T105,1,,,考试安排
"护理2301,护理2302,护理2303,检验2303,预防23级1组,预防23级3组,预防23级6组",9,,,,,10910,T105,1,,,考试安排
"麻醉2201班2组,麻醉2301,麻醉2302",6,,,,,10910,T105,2,,,考试安排
检验2203,1,,,,,10910,T105,1,,,考试安排
"精神医学2301,精神医学2302,精卫2201班1组",7,,,,,10910,T105,2,,,考试安排
"21级八年制附二1组,21级八年制附三4组,21级八年制附一5组",7,,,,,10910,T106,2,,,考试安排
"护理2301,护理2302,护理2303,检验2302,检验2303",10,,,,,10910,T106,2,,,考试安排
"精卫2201班1组,精卫2201班3组,临床（五年）附二2005组,临床（五年）附二2202班3组,临床（五年）附二2202班4组,临床（五年）附二2204班8组,临床（五年）附二2204班9组",9,,,,,10910,T210,1,,,考试安排
"临床（五年）附二2101班1组,临床（五年）附二2101班2组",2,,,,,10910,T210,1,,,考试安排
"口腔（5+3）21级1组,口腔（5+3）21级2组,口腔（5+3）22级2组,口腔五年21级2组,口腔五年22级1组,临床（五年）附一2105班9组,临床（五年）附一2203班5组,临床（五年）附一2204班8组,麻醉20级1组,麻醉2101班1组,麻醉2201班2组",12,,,,,10910,T210,1,,,考试安排
"临床（五年）附三2101班1组,临床（五年）附三2104班7组",3,,,,,10910,T210,1,,,考试安排
"法医2201,基础医学22级1组,基础医学22级2组,临床（五年）附三2201班1组,临床（五年）附三2202班3组,临床（五年）附三2202班4组,临床（五年）附三2203班5组,临床（五年）附三2204班7组,临床（五年）附三2204班8组",18,,,,,10910,T210,1,,,考试安排
麻醉2101班3组,1,,,,,10910,T210,1,,,考试安排
"检验2203,临床（五年）附三2203班5组,麻醉2101班2组,麻醉2201班2组",4,,,,,11112,T105,1,,,考试安排
"法医2301,检验2302,检验2303,精神医学2302,口腔医学（5+3）2301,口腔医学（5+3）2302,临五2301,临五2302,临五2303,临五2304,临五2305,临五2306,临五2308,临五2310,临五2311,临五2312,临五2313,麻醉2301,麻醉2302,预防23级1组,预防23级2组,预防23级3组",44,,,,,11112,T105,1,,,考试安排
"预防23级1组,预防23级2组,预防23级3组,预防23级6组",8,,,,,14,T206,1,,,考试安排
"检验2201,检验2203,预防22级1组",3,,,,,14,T206,1,,,考试安排
"精神医学2302,口腔五年2301班,口腔医学（5+3）2301,临五2301,临五2304,临五2305,临五2307,临五2310,临五2312,临五2313,麻醉2301,麻醉2302",12,,,,,20910,T105,1,,,考试安排
"基础医学2301,基础医学拔尖2301班",6,,,,,20910,T105,2,,,考试安排
"护理2301,护理2302,护理2303,药学2301,药学2303",15,,,,,20910,T105,2,,,考试安排
基础医学22级1组,1,,,,,20910,T105,2,,,考试安排
生科2201,1,,,,,20910,T105,1,,,考试安排
"基础医学拔尖2201班,精神医学2302,精卫2101班1组,精卫2101班2组,精卫2201班3组,口腔（5+3）21级1组,口腔（5+3）21级2组,口腔（5+3）22级1组,口腔五年21级1组,口腔五年22级1组,口腔医学（5+3）2301,口腔医学（5+3）2302,临床（五年）附二2101班1组,临床（五年）附二2101班2组,临床（五年）附二2103班6组,临床（五年）附二2202班3组,临床（五年）附二2202班4组,临床（五年）附二2203班6组,临床（五年）附三2104班8组,临床（五年）附三2201班1组,临床（五年）附三2202班4组,临床（五年）附三2203班5组,临床（五年）附三2203班6组,临床（五年）附三2204班7组,临床（五年）附一2203班5组,临床（五年）附一2205班10组,临床（五年）附一2205班9组,临五2301,临五2304,临五2306,临五2314,麻醉2101班1组,麻醉2101班2组,麻醉2201班1组,麻醉2201班2组,麻醉2201班3组",55,,,,,20910,T107,2,,,考试安排
"精神医学2301,精神医学2302,口腔五年2301班,临五2301,临五2302,临五2303,临五2305,临五2306,临五2307,临五2309,临五2310,临五2311,临五2312,麻醉2301,麻醉2302",55,,,,,20910,T108,2,,,考试安排
"法医2101,法医2201,法医2301,基础医学21级2组,基础医学22级1组,基础医学22级2组,精神医学2302,临床（五年）附三2204班7组,临五2301,临五2302,临五2304,临五2306,临五2307,临五2308,临五2310,临五2311,临五2312,临五2313,临五2314,麻醉2301,麻醉2302",54,,,,,20910,T109,2,,,考试安排
"法医2201,基础医学21级2组,基础医学22级1组,基础医学22级2组,临床（五年）附二2101班2组,临床（五年）附三2201班1组,临床（五年）附三2201班2组,临床（五年）附三2202班4组,临床（五年）附三2203班5组,临床（五年）附三2204班7组",17,,,,,20910,T210,1,,,考试安排
"口腔（5+3）21级1组,口腔（5+3）21级2组,口腔（5+3）22级1组,口腔（5+3）22级2组,口腔五年20级1组,口腔五年21级2组,口腔五年22级1组,口腔五年22级2组,临床（五年）附一2101班2组,临床（五年）附一2105班9组,临床（五年）附一2202班3组,临床（五年）附一2203班5组,临床（五年）附一2204班7组,临床（五年）附一2204班8组,麻醉20级2组,麻醉2101班2组,麻醉2101班3组,麻醉2201班2组,麻醉2201班3组",30,,,,,20910,T210,1,,,考试安排
临床（五年）附三2104班7组,2,,,,,20910,T210,1,,,考试安排
"临床（五年）附二2201班1组,临床（五年）附二2202班3组,临床（五年）附二2202班4组,临床（五年）附二2204班8组",6,,,,,20910,T210,1,,,考试安排
"检验2101,检验2203,口腔五年22级1组,临床（五年）附三2202班3组,临床（五年）附三2204班7组,麻醉2201班3组",7,,,,,21112,T105,1,,,考试安排
基础医学2301,4,,,,,21112,T105,1,,,考试安排
"法医2301,检验2302,检验2303,精神医学2301,精神医学2302,口腔医学（5+3）2301,口腔医学（5+3）2302,临五2301,临五2302,临五2303,临五2304,临五2305,临五2306,临五2307,临五2309,临五2310,临五2311,临五2312,临五2313,麻醉2301,麻醉2302,预防23级1组,预防23级2组,预防23级3组",59,,,,,21112,T106,1,,,考试安排
"护理2104,检验2101,检验2201,检验2203,生信2101,生信2201,预防20级3组,预防21级6组",8,,,,,24,T205,1,,,考试安排
