上课班级,选课人数,开课编号,开课课程,授课教师,教师所在院系,开课时间,上课地点,上课周次,单双周,分组名,备注
国贸2301-02,0,202520262011344,制度经济学,李康祥,商学院,10102,A座102,9-16,全周,,调课
机械类2516,28,202520262003231,工程制图与数字化表达（二）,吴波,机电工程学院,10102,A座215,1-8,全周,,调课
地物2401,24,202520262007848,地球物理场论,戴前伟,图书馆,10102,A座223,1-8,全周,,调课
化学生物环境类2510-12,84,202520262002216,大学物理B（一）,罗成林,物理学院,10102,A座301,1-16,全周,,调课
消防2401-02,44,202520262006702,传热学,易亮,土木工程学院,10102,A座312,1-12,全周,,调课
粉体2405-06,59,202520262007300,工科大学化学—物理化学A(二),彭志光,化学化工学院,10102,A座315,1-10,全周,,调课
地勘2403,21,202520262007985,岩石学Ⅰ,刘帅奇,地球科学与信息物理学院,10102,A座322,1-16,全周,,调课
交通运输类2504-06,79,202520262018424,形势与政策,李婷,马克思主义学院,10102,B座111,"9,13",全周,,调课
国贸2301-02,0,202520262011344,制度经济学,李康祥,商学院,10102,B座203,9-16,全周,,调课
机械2408,33,202520262007114,机械工程材料,汤晓明,机电工程学院,10102,B座203,1-8,全周,,调课
机械2405,33,202520262007147,机械精度设计,陈志,机电工程学院,10102,B座205,9-16,全周,,调课
智能2403-04,49,202520262004135,数据结构,李仪,自动化学院,10102,B座206,1-14,全周,,调课
会计2401-03,0,202520262006118,资产评估学,郑连元,商学院,10102,B座308,9-16,全周,,调课
自动化与电气类2503-05,94,202520262000338,电路,李中华,自动化学院,10102,B座314,1-16,全周,,调课
升华科创班2501升华科创班2502,58,202520262000200,定量工程分析,岳俊,自动化学院,10102,B座314,1-4,全周,,调课
冶金2403-04,56,202520262007525,工科大学化学—物理化学A(二),丁治英,化学化工学院,10102,B座314,1-10,全周,,调课
能器2301,27,202520262013359,化学电源基础与应用,张治安,冶金与环境学院,10102,B座403,1-8,全周,,调课
行政2501,25,202520262000871,公共行政学,许源源,公共管理学院,10102,B座403,1-12,全周,,调课
信管2502,29,202520262020881,基础会计学,章细贞,商学院,10102,B座405,1-12,全周,,调课
能源类2501-05班英语2505,0,202520262001812,计算机程序设计基础（Python）,刘丽敏,计算机学院,10102,B座413,1-12,全周,,调课
遥感测绘地信类2501-06,165,202520262003754,高等数学A（二）,运东方,数学与统计学院,10102,B座414,1-16,全周,,调课
经济管理类2507,32,202520262002047,宏观经济学,李康祥,商学院,10102,B座504,1-12,全周,,调课
